ResourceID,RENO,RENO_TYPE,SITE_NAME,NAME_TYPE,RETYPE_Valueid,SITECODE,SITECODE_TYPE,DESCRIPTION,DESCRIPTION_TYPE,REEDATE,REEDATE_TYPE,REEDATEPREC_Valueid,RELDATE,RELDATE_TYPE,RELDATEPREC_Valueid,NGRPREC_Valueid,WKT
00000000-0000-0000-0000-0000000lhde6,6,838a206c-7975-4695-a2ae-1575b1e07984,"Greyfriars Library Broadgate",81dd62d2-6701-4195-b74b-8057456bba4b,1d5d5732-f58c-4e24-8ef8-b1e0e087d1b1,gla94,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1994-02-08,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1994-02-08,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.537198530195209 53.229513154236052)
00000000-0000-0000-0000-0000000lhde6,,,,,,,,"Site of photographic and architectural survey prior to redevelopment",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-0000000lhde7,7,838a206c-7975-4695-a2ae-1575b1e07984,"St Marks station",81dd62d2-6701-4195-b74b-8057456bba4b,96488b99-2700-4f32-89e0-2595fcd589af,bra94,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1994-02-24,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1994-02-25,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.543316899877466 53.22492246036353)
00000000-0000-0000-0000-0000000lhde7,,,,,,,,"Archaeological monitoring of six geotechnical trial pits, Trial Pit 1-6.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-0000000lhde8,8,838a206c-7975-4695-a2ae-1575b1e07984,"30-31 Broadgate",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,bb91,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1991-01-17,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1991-01-17,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.53604566979319 53.230370995921227)
00000000-0000-0000-0000-0000000lhde8,,,,,,,,"Excavation site",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-0000000lhde9,9,838a206c-7975-4695-a2ae-1575b1e07984,"Broadgate East 1973",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,be73,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1973-07-02,af8e248f-28c9-4c97-b57b-add942b8e009,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,1973-09-29,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.535770688716149 53.229648446830218)
00000000-0000-0000-0000-0000000lhde9,,,,,,,,"Excavation site in advance of the construction of a multi-storey car park, consisting of six areas. Four of the planned 10 areas were not excavated.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde11,11,838a206c-7975-4695-a2ae-1575b1e07984,"Broadgate East 1973",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,be73ii,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1973-07-02,af8e248f-28c9-4c97-b57b-add942b8e009,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,1973-09-29,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.536160041283923 53.229653229079439)
00000000-0000-0000-0000-000000lhde11,,,,,,,,"Area 2 of ten. Area ii. Below the cellar of the demolished 17 Broadgate",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde12,12,838a206c-7975-4695-a2ae-1575b1e07984,"Broadgate East 1973",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,be73iii,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1973-07-02,af8e248f-28c9-4c97-b57b-add942b8e009,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,1973-09-29,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.535724843696485 53.229674852585177)
00000000-0000-0000-0000-000000lhde12,,,,,,,,"Area 3 of ten. Area iii. This area was not excavated.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde13,13,838a206c-7975-4695-a2ae-1575b1e07984,"Broadgate East 1973",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,be73iv,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1973-07-02,af8e248f-28c9-4c97-b57b-add942b8e009,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,1973-09-29,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.536291446155817 53.229753728862335)
00000000-0000-0000-0000-000000lhde13,,,,,,,,"Area 4 of ten. Area iv. This area was not excavated.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde14,14,838a206c-7975-4695-a2ae-1575b1e07984,"Broadgate East 1973",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,be73v,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1973-07-02,af8e248f-28c9-4c97-b57b-add942b8e009,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,1973-09-29,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.536199449986724 53.229815526636685)
00000000-0000-0000-0000-000000lhde14,,,,,,,,"Area 5 of ten. Area v, within the cellars of the demolished 19-23 Broadgate",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde15,15,838a206c-7975-4695-a2ae-1575b1e07984,"Broadgate East 1973",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,be73vi,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1973-07-02,af8e248f-28c9-4c97-b57b-add942b8e009,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,1973-09-29,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.535853182089996 53.229865211626425)
00000000-0000-0000-0000-000000lhde15,,,,,,,,"Area 6 of ten. Area vi",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde16,16,838a206c-7975-4695-a2ae-1575b1e07984,"Broadgate East 1973",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,be73vii,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1973-07-02,af8e248f-28c9-4c97-b57b-add942b8e009,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,1973-09-29,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.535386549262906 53.229490903399984)
00000000-0000-0000-0000-000000lhde16,,,,,,,,"Area 7 of ten. Area vii. This area was not excavated, but was in the cellars of the demolished 5-9 Friars Lane.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde17,17,838a206c-7975-4695-a2ae-1575b1e07984,"Broadgate East 1973",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,be73viii,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1973-07-02,af8e248f-28c9-4c97-b57b-add942b8e009,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,1973-09-29,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.53538808249018 53.229445974013998)
00000000-0000-0000-0000-000000lhde17,,,,,,,,"Area 8 of ten. Area viii. This area was not excavated, but was in the cellars of the demolished 5-9 Friars Lane.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde18,18,838a206c-7975-4695-a2ae-1575b1e07984,"Broadgate East 1973",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,be73ix,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1973-07-02,af8e248f-28c9-4c97-b57b-add942b8e009,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,1973-09-29,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.536283519612544 53.22954686971795)
00000000-0000-0000-0000-000000lhde18,,,,,,,,"Area 9 of ten. Area ix. In the cellar of the demolished 15-16 Broadgate.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde19,19,838a206c-7975-4695-a2ae-1575b1e07984,"Broadgate East 1973",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,be73x,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1973-07-02,af8e248f-28c9-4c97-b57b-add942b8e009,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,1973-09-29,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.536285358361771 53.22949295443366)
00000000-0000-0000-0000-000000lhde19,,,,,,,,"Area 10 of ten. Area x. Cellar of the demolished 14 Broadgate.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde20,20,838a206c-7975-4695-a2ae-1575b1e07984,"Bishop Grosseteste 1976",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,bg76,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1976-01-01,af8e248f-28c9-4c97-b57b-add942b8e009,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,1977-12-31,2195c931-95b0-4c91-9a1d-7607d56d1377,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.537682976898038 53.24299455812487)
00000000-0000-0000-0000-000000lhde20,,,,,,,,"Excavation site",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde21,21,838a206c-7975-4695-a2ae-1575b1e07984,"Brayford North",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,bn89,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1989-10-12,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1990-01-17,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.546284768771194 53.229732191668013)
00000000-0000-0000-0000-000000lhde21,,,,,,,,"Excavation site in advance of the construction of the Holiday Inn Hotel. There were 13 areas of investigation, Trenches 1-6 and Test Trenches 1-7.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde22,22,838a206c-7975-4695-a2ae-1575b1e07984,"Old Bishops Palace",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,bp89,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1989-12-11,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1989-12-14,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.536225076678432 53.233456645972296)
00000000-0000-0000-0000-000000lhde22,,,,,,,,"Excavation site",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde23,23,838a206c-7975-4695-a2ae-1575b1e07984,"Boultham Park Road (former Primary School)",81dd62d2-6701-4195-b74b-8057456bba4b,96488b99-2700-4f32-89e0-2595fcd589af,bpr92,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1992-05-20,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1992-05-20,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.553158474500826 53.220925079601699)
00000000-0000-0000-0000-000000lhde23,,,,,,,,"Excavation site",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde24,24,838a206c-7975-4695-a2ae-1575b1e07984,"British Rail St Marks [trial trench] 1985",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,br85,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1985-03-25,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1985-04-04,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.544461632936605 53.225179165476213)
00000000-0000-0000-0000-000000lhde24,,,,,,,,"Excavation of one trial trench. Treated as Area 9 in the site report.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde25,25,838a206c-7975-4695-a2ae-1575b1e07984,"Brayford Wharf East 1982",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,bwe82,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1982-03-01,af8e248f-28c9-4c97-b57b-add942b8e009,80282a6a-460c-4fe7-ae6b-7370662415d5,1982-05-01,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.543744532511022 53.226446935219577)
00000000-0000-0000-0000-000000lhde25,,,,,,,,"Excavation site in advance of the construction of the Lincolnshire Echo building, consisting of a single trench 55m x 2.5m dug down from an existing basement.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde26,26,838a206c-7975-4695-a2ae-1575b1e07984,"Brayford Wharf North 1975",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,bwn75,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1975-12-01,af8e248f-28c9-4c97-b57b-add942b8e009,80282a6a-460c-4fe7-ae6b-7370662415d5,1975-12-01,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.543706833476975 53.228882666582486)
00000000-0000-0000-0000-000000lhde26,,,,,,,,"Excavation site consisting of two north-south running trenches (Trenches 1 and 2) and a short W-E extension to Trench 1 (Trench 1a). This was in advance of the construction of a supermarket (MON1681)",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde27,27,838a206c-7975-4695-a2ae-1575b1e07984,"Cabourne Avenue",81dd62d2-6701-4195-b74b-8057456bba4b,96488b99-2700-4f32-89e0-2595fcd589af,cab91,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1991-01-09,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1991-01-09,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.523559883280921 53.246659055725807)
00000000-0000-0000-0000-000000lhde27,,,,,,,,"Excavation site",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde28,28,838a206c-7975-4695-a2ae-1575b1e07984,"Lincoln Castle",81dd62d2-6701-4195-b74b-8057456bba4b,b729336b-df96-4272-b2d6-474c4f386d9d,cas91,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1991-08-08,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1993-04-01,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.540675844423976 53.235192279011024)
00000000-0000-0000-0000-000000lhde28,,,,,,,,"Archaeological Evaluation by means of Trial Pits in advance of electricity cable trenching, and Watching Brief on the cabling trenches themselves. 13 Trial Pits were excavated, Trial Pits 1-13. For the Archaeological monitoring and recording (Watching Brief), the site was divided into seven areas, Areas A-G.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde29,29,838a206c-7975-4695-a2ae-1575b1e07984,"Castle Floodlighting (watching brief)",81dd62d2-6701-4195-b74b-8057456bba4b,4298586a-89fd-4475-8d4a-942763180c19,casa93,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1993-02-04,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1993-02-04,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.542308059394935 53.235661731359571)
00000000-0000-0000-0000-000000lhde29,,,,,,,,"Excavation site",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde30,30,838a206c-7975-4695-a2ae-1575b1e07984,"Observatory Tower Lincoln Castle",81dd62d2-6701-4195-b74b-8057456bba4b,96488b99-2700-4f32-89e0-2595fcd589af,casb93,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1993-09-20,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1993-09-24,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.540347573140452 53.234271317293924)
00000000-0000-0000-0000-000000lhde30,,,,,,,,"Excavation site",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde31,31,838a206c-7975-4695-a2ae-1575b1e07984,"Castle Observatory Tower",81dd62d2-6701-4195-b74b-8057456bba4b,b15ec403-e33a-4960-9129-2a1c731d636c,casob92,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1992-07-01,af8e248f-28c9-4c97-b57b-add942b8e009,80282a6a-460c-4fe7-ae6b-7370662415d5,1992-07-01,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.540169075058387 53.234233172885659)
00000000-0000-0000-0000-000000lhde31,,,,,,,,"Site of photographic and graphic survey",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde32,32,838a206c-7975-4695-a2ae-1575b1e07984,"Lincoln Cathedral 1986",81dd62d2-6701-4195-b74b-8057456bba4b,b244bfc4-313c-4730-97ca-bfbf0feadcbb,cat86,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1986-07-01,af8e248f-28c9-4c97-b57b-add942b8e009,80282a6a-460c-4fe7-ae6b-7370662415d5,1986-10-01,2195c931-95b0-4c91-9a1d-7607d56d1377,80282a6a-460c-4fe7-ae6b-7370662415d5,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.535486530888995 53.234463403575838)
00000000-0000-0000-0000-000000lhde32,,,,,,,,"Excavation site in the lawn area between the Chapter House, Angel Choir and the north-east transept, carried out in order to expose the foundations of a chapel",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde33,33,838a206c-7975-4695-a2ae-1575b1e07984,"Castle Banks (Stabilisation Survey)",81dd62d2-6701-4195-b74b-8057456bba4b,4298586a-89fd-4475-8d4a-942763180c19,cb90,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1990-05-08,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1990-06-10,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.541001056462716 53.234881622837356)
00000000-0000-0000-0000-000000lhde33,,,,,,,,"Archaeological monitoring and recording (watching brief) during engineering work to assess the stability of the Castle walls and bank.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-000000lhde34,34,838a206c-7975-4695-a2ae-1575b1e07984,"Castle Banks (Stabilisation Survey)",81dd62d2-6701-4195-b74b-8057456bba4b,4298586a-89fd-4475-8d4a-942763180c19,cba93,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1993-01-01,af8e248f-28c9-4c97-b57b-add942b8e009,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,1993-12-31,2195c931-95b0-4c91-9a1d-7607d56d1377,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.542433961466587 53.235042986509669)
00000000-0000-0000-0000-000000lhde34,,,,,,,,"Archaeological monitoring and recording (watching brief) site",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
