ResourceID,SOURCENO,SOURCENO_TYPE,TYPE_Valueid,AUTHOR,TITLE,TITLE_TYPE,PUBLICATION_PLACE,Date,EDITOR,PUBLISHER,JOURNAL_SERIES_NAME,PAGES,SERIES_NO
00000000-0000-0000-0000-000000lhds56,56,838a206c-7975-4695-a2ae-1575b1e07984,b01ca8a5-f56d-44f4-a969-cf62847fc6e5,"Bruce-Mitford, Rupert","Pre-Viking Lindsey: Late Celtic Hanging-Bowls in Lincolnshire and South Humberside",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1993,"Vince, Alan","City of Lincoln Archaeology Unit","Lincoln Archaeological Studies","45-70","1"
00000000-0000-0000-0000-000000lhds63,63,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Camidge, K.","Lincoln Archaeological Trust 1980-81: East Bight",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1981,"Nurser, E.","Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","10-13","9"
00000000-0000-0000-0000-000000lhds64,64,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Camidge, K.","Archaeology in Lincoln 1983-1984: Hungate",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1984,"Jones, M. J. & Nurser, E.","Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","6-9","12"
00000000-0000-0000-0000-000000lhds65,65,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Camidge, K.","Archaeology in Lincoln 1983-1984: The Roman well at St Paul-in-the-Bail",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1984,"Jones, M. J. & Nurser, E.","Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","15-21","12"
00000000-0000-0000-0000-00000lhds395,395,838a206c-7975-4695-a2ae-1575b1e07984,f9259f53-f9ff-41a0-914f-56e79e1fca15,"Owen, D. M.","The Norman cathedral at Lincoln",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,1984,,,"Anglo-Norman StudiesProceedings of the battle Conference 1983 ","188-99","6"
00000000-0000-0000-0000-0000lhds3002,3002,838a206c-7975-4695-a2ae-1575b1e07984,f9259f53-f9ff-41a0-914f-56e79e1fca15,"Spence, C.","The rise and fall of medieval Lincolns northern suburb of Newport",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,2013,,"Society for Medieval Archaeology","Medieval ArchaeologyMedieval Britain and Ireland","296-302","57-1"
00000000-0000-0000-0000-0000lhds1157,1157,838a206c-7975-4695-a2ae-1575b1e07984,f9259f53-f9ff-41a0-914f-56e79e1fca15,"Thompson, A. H.","The Churches of St Mary-le-Wigford, St. Benedict and St. Peter at Gowts, Lincoln.",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"London",1946,,"Archaeological Institute of Great Britain and Ireland","Archaeological JournalProceedings of the Royal Archaeological Institute","162-166","103"
00000000-0000-0000-0000-0000lhds1172,1172,838a206c-7975-4695-a2ae-1575b1e07984,f9259f53-f9ff-41a0-914f-56e79e1fca15,,"Roman Britain in 1957",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,1958,,"Society for the Promotion of Roman Studies","Journal of Roman StudiesJournal of Roman Studies","130-155","48"
00000000-0000-0000-0000-0000lhds1174,1174,838a206c-7975-4695-a2ae-1575b1e07984,f9259f53-f9ff-41a0-914f-56e79e1fca15,,"Roman Britain in 1945",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,1946,,"Society for the Promotion of Roman Studies","Journal of Roman StudiesJournal of Roman Studies","140","36"
00000000-0000-0000-0000-0000lhds1179,1179,838a206c-7975-4695-a2ae-1575b1e07984,f9259f53-f9ff-41a0-914f-56e79e1fca15,,"Roman Britain in 1924",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,1924,,"Society for the Promotion of Roman Studies","Journal of Roman StudiesJournal of Roman Studies","224","14"
00000000-0000-0000-0000-0000lhds1165,1165,838a206c-7975-4695-a2ae-1575b1e07984,f9259f53-f9ff-41a0-914f-56e79e1fca15,,,78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,1933,,"Society for the Promotion of Roman Studies","Journal of Roman StudiesJournal of Roman Studies","215","23"
00000000-0000-0000-0000-0000lhds1185,1185,838a206c-7975-4695-a2ae-1575b1e07984,f9259f53-f9ff-41a0-914f-56e79e1fca15,,,78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,1948,,"Society for the Promotion of Roman Studies","Journal of Roman StudiesJournal of Roman Studies","88","38"
00000000-0000-0000-0000-000000lhds13,13,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Adams, L.","Lincoln Archaeological Trust 1978-1979: Imported pottery of the 9th-11th centuries from Flaxengate, Lincoln",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1979,,"Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","30-4","7"
00000000-0000-0000-0000-000000lhds17,17,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Adams, Lauren T","Lincoln Archaeological Trust 1974-1975: Post-Roman Pottery",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1975,,"Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","28-9","3"
00000000-0000-0000-0000-000000lhds18,18,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Adams, Lauren T","Lincoln Archaeological Trust 1975-1976: Post-Roman Pottery",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1976,"Colyer, Christina","Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","31-3","4"
00000000-0000-0000-0000-000000lhds66,66,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Camidge, K.","Archaeology in Lincolnshire 1984-1985: Hungate",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1985,"Nurser, E.","Trust for Lincolnshire Archaeology","Annual Report Trust for Lincolnshire Archaeology","44-6","1"
00000000-0000-0000-0000-000000lhds67,67,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Camidge, K.","Archaeology in Lincolnshire 1985-1986: Hungate",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1986,"Nurser, E.","Trust for Lincolnshire Archaeology","Annual Report Trust for Lincolnshire Archaeology","21-3","2"
00000000-0000-0000-0000-000000lhds68,68,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Camidge, K.","Archaeology in Lincolnshire 1985-1986: St Marks Station",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1986,"Nurser, E.","Trust for Lincolnshire Archaeology","Annual Report Trust for Lincolnshire Archaeology","25-7","2"
00000000-0000-0000-0000-000000lhds69,69,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Camidge, K.","Archaeology in Lincolnshire 1986-1987: Greetwellgate",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1987,"Nurser, E.","Trust for Lincolnshire Archaeology","Annual Report Trust for Lincolnshire Archaeology","28-30","3"
00000000-0000-0000-0000-000000lhds70,70,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Camidge, K.","Archaeology in Lincolnshire 1986-1987: Swanpool",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1987,"Nurser, E.","Trust for Lincolnshire Archaeology","Annual Report Trust for Lincolnshire Archaeology","30-2","3"
00000000-0000-0000-0000-000000lhds71,71,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Camidge, K.","Archaeology in Lincolnshire 1986-1987: The Lawn",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1987,"Nurser, E.","Trust for Lincolnshire Archaeology","Annual Report Trust for Lincolnshire Archaeology","24-7","3"
00000000-0000-0000-0000-000000lhds72,72,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Camidge, K. and Guy, C.","Archaeology in Lincolnshire 1986-1987: Cathedral: Chapel, Nettle Yard, West Front",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1987,"Nurser, E.","Trust for Lincolnshire Archaeology","Annual Report Trust for Lincolnshire Archaeology","27-8","3"
00000000-0000-0000-0000-000000lhds77,77,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Chitwood, P. J.","Waterfront Archaeology: Proceedings of the third International conference, Bristol, 1988: Lincolns ancient docklands: the search continues",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,1991,"Good, G. L., Jones, R. H. & Ponsford, M. W.",,"Council for British Archaeology Research Reports","169-76","74"
00000000-0000-0000-0000-000000lhds75,75,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Chitwood, Prince","Lincoln Archaeology 1988-1989: Waterfront North West 1988",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1989,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","4-7","1"
00000000-0000-0000-0000-000000lhds76,76,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Chtiwood, P.","Archaeology in Lincolnshire 1987-1988: St Marks Yard East",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Sleaford",1988,"Nurser, E.","Trust for Lincolnshire Archaeology","Annual Report Trust for Lincolnshire Archaeology","24-6","4"
00000000-0000-0000-0000-000000lhds78,78,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Chtiwood, P.","Lincoln Archaeology 1989-90: Brayford North 1989: Proposed Garden Court Holiday Inn Hotel",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1990,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","10-11","2"
00000000-0000-0000-0000-000000lhds79,79,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Chtiwood, P.","Lincoln Archaeology 1989-90: St Marks Yard East (County Court site)",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1990,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","13-15","2"
00000000-0000-0000-0000-000000lhds80,80,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Chtiwood, P., Donel, L. and Jones, M. J.","Lincoln Archaeology 1989-90: Tower Garage, Westgate",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1990,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","16-17","2"
00000000-0000-0000-0000-000000lhds82,82,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Clipson, J., Gilmour, B. and Jones, M. J.","Lincoln Archaeological Trust 1979-1980: West Bight",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1980,,"Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","11-14","8"
00000000-0000-0000-0000-000000lhds84,84,838a206c-7975-4695-a2ae-1575b1e07984,262ed470-bf1e-411e-96cc-744326ca764c,"Colyer, C. and Jones, M. J.","Clay tobacco pipes from excavations in Lincoln 1970-74: The context of the finds",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"London",1977,"Mann, J. E.","Council for British Archaeology","The Archaeology of Lincoln","7-8","15-1"
00000000-0000-0000-0000-000000lhds87,87,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Colyer, Christina","Lincoln Archaeological Trust 1974-1975: Research and publication of finds",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1975,,"Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","24-5","3"
00000000-0000-0000-0000-000000lhds91,91,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Colyer, Christina","Lincoln Archaeological Trust 1975-1976: Miscellaneous Sites",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1976,,"Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","26","4"
00000000-0000-0000-0000-000000lhds92,92,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Colyer, Christina","Lincoln Archaeological Trust 1975-1976: Excavation October 1975 - September 1976",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1976,,"Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","12","4"
00000000-0000-0000-0000-000000lhds86,86,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Colyer, Christina and Jones, M. J.","Lincoln Archaeological Trust 1974-1975: Excavations April 1974 - October 1975",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1975,,"Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","13","3"
00000000-0000-0000-0000-000000lhds93,93,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Colyer, Christina,  Adams, Lauren and Foley, Kate","Lincoln Archaeological Trust 1975-1976: Industrial processes of the Anglo-Scandinavian period at Flaxengate",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1976,,"Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","35-7","4"
00000000-0000-0000-0000-000000lhds85,85,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Colyer, Christina,  Jones, M. J., Jones, R. H. and Clipson, J.","Lincoln Archaeological Trust 1974-1975: Flaxengate",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1975,,"Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","13-18","3"
00000000-0000-0000-0000-000000lhds99,99,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Cowgill, Jane","St Marys Guildhall, Lincoln: The non-ceramic finds",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"London",1991,"Stocker, David","Council for British Archaeology","The Archaeology of Lincoln","72-3","12/1"
00000000-0000-0000-0000-00000lhds891,891,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Armstrong, P..","Excavations at Lurk Lane Beverley, 1979-82: The Clay Roof Tiles",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,1991,"Armstrong, P., Tomlinson, D. & Evans, D. H.",,"Sheffield Excavation Reports","201-7","1"
00000000-0000-0000-0000-00000lhds944,944,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Ashbee, J.","Lincoln Archaeology 1993-4: Architectural Research: the Magnate Residence and the Monuments Protection Programme",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1994,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","20-1","6"
00000000-0000-0000-0000-00000lhds872,872,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Ayers, B.","Excavations within the North-East Bailey of Norwich Castle, 1979: The Pottery",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Dereham",1985,"Ayers, B.","Norfolk Archaeological Unit","East Anglian Archaeology Reports","33-40","28"
00000000-0000-0000-0000-00000lhds674,674,838a206c-7975-4695-a2ae-1575b1e07984,eefe1d6b-3484-498f-9160-4bd0f7ff30e6,"Ayers, Brian","Bergen 1983: The Growth of a Saxon Port",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Bergen",1985,"Herteig, A.","Historisk Museum Bergen","Conference on Waterfront Archaeology in Northern European Towns","46-54","2"
00000000-0000-0000-0000-00000lhds839,839,838a206c-7975-4695-a2ae-1575b1e07984,262ed470-bf1e-411e-96cc-744326ca764c,"Bishop, M. C.","Military Equipment and the Identity of Roman Soldiers: Cavalry equipment of the Roman army in the first century A.D",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Oxford",1988,"Coulston, J. C.","British Archaeological Reports","British Archaeological Reports International Series","67-196","394"
00000000-0000-0000-0000-00000lhds803,803,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Blackburn, Mark and Mann, Jenny","Lincoln Archaeology 1994-4: A Late Anglo-Saxon Coin Die from Flaxengate, Lincoln",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1995,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","27-9","7"
00000000-0000-0000-0000-00000lhds758,758,838a206c-7975-4695-a2ae-1575b1e07984,426a3c56-b588-4b18-928a-89f97fe70fab,"Blair, W. J.","Manorial and Domestic Buildings in England and Northern France.: Hall and Chamber: English Domestic Planning 1000-1250.",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"London",1993,"Meirion-Jones G. and Jones, M.","Society of Antiquaries","Occasional Papers from the Society of Antiquaries of London.",,"15"
00000000-0000-0000-0000-00000lhds759,759,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Brann, M.","Lincoln Archaeology 1993-4: Bishops Old Palace",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1994,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","7-8","6"
00000000-0000-0000-0000-00000lhds801,801,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Brann, M.","Lincoln Archaeology 1994-5: Lincoln Bishops Old Palace",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1995,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","10","7"
00000000-0000-0000-0000-00000lhds802,802,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Brann, M.","Lincoln Archaeology 1994-4: Bolsover Castle, Derbyshire",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1995,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","19","7"
00000000-0000-0000-0000-00000lhds938,938,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Brann, M.","Lincoln Archaeology 1993-4: Lincoln Cathedral, West Front Frieze",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1994,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","9","6"
00000000-0000-0000-0000-00000lhds900,900,838a206c-7975-4695-a2ae-1575b1e07984,b01ca8a5-f56d-44f4-a969-cf62847fc6e5,"Coppack, G.","Goltho: The development of an early medieval manor c.850-1150: Saxon and medieval pottery",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,1987,"Beresford, G.",,"English Heritage Archaeological Reports","134-69","4"
00000000-0000-0000-0000-00000lhds945,945,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Cowgill, J.","Lincoln Archaeology 1993-4: Desperately Seeking Slags",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1994,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","25","6"
00000000-0000-0000-0000-00000lhds845,845,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Cramp, R. J.","The Anglo-Saxon Church: The furnishing and sculptural decoration of Anglo-Saxon churches",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,1986,"Butler, L. A. S. & Morris, R. K.","Council for British Archaeology","Council for British Archaeology Research Reports","101-4","60"
00000000-0000-0000-0000-00000lhds850,850,838a206c-7975-4695-a2ae-1575b1e07984,262ed470-bf1e-411e-96cc-744326ca764c,"Crowfoot, E.","Wharram III: Coffin coverings",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,1987,"Bell, R. D. & Beresford, M. W.","Society for Medieval Archaeology","Society for Medieval Archaeology Monograph Series","149-50 and fiche 5 (Chap 6, section E)","11"
00000000-0000-0000-0000-00000lhds859,859,838a206c-7975-4695-a2ae-1575b1e07984,262ed470-bf1e-411e-96cc-744326ca764c,"Crowfoot, E.","Excavations in Poole 1973-1983: The textiles",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,1992,"Horsey, I. P.",,"Dorset Natural History and Archaeology Society Monograph Series","175-82","10"
00000000-0000-0000-0000-00000lhds922,922,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Dallas, Carolyn","Excavations in Thetford by B. K. Davison between 1964 and 1970: The pottery",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Dereham",1993,"Dallas, Carolyn","Field Archaeology Division, Norfolk Museum Service","East Anglian Archaeology Reports","121-153","62"
00000000-0000-0000-0000-00000lhds946,946,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Darling, M.","Lincoln Archaeology 1993-4: Roman Pottery: some benefits of computerisation",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1994,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","21-3","6"
00000000-0000-0000-0000-00000lhds947,947,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Darling, M.","Lincoln Archaeology 1993-4: The South Carlton Roman Pottery Project",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1994,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","35-6","6"
00000000-0000-0000-0000-00000lhds106,106,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Darling, Maggi","Lincoln Archaeological Trust 1975-1976: Roman Pottery",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1976,,"Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","29-30","4"
00000000-0000-0000-0000-00000lhds116,116,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Darling, Maggi","Lincoln Archaeology 1989-90: The blacksmiths of St Marks and their god",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1990,"Jones, M. J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","21-3","2"
